Accuracy for medication change prediction Base  SVM,0.99986
Accuracy for diabetes med perscribed prediction Base  SVM,0.99996
Accuracy for medication change prediction  SVM control for race -- demographic parity,0.995217819
Accuracy for medication change prediction  SVM control for race -- equalized odds,0.999901736
Accuracy for diabetes med perscribed prediction SVM control for race -- demographic parity,0.68673436
Accuracy for diabetes med perscribed prediction SVM control for race -- equalized odds,0.687684245
Accuracy for medication change prediction  SVM control for gender -- demographic parity,0.991876842
Accuracy for medication change prediction  SVM control for gender -- equalized odds,0.999934491
Accuracy for diabetes med perscribed prediction SVM control for gender -- demographic parity,0.679200786
Accuracy for diabetes med perscribed prediction SVM control for gender -- equalized odds,0.687717
Accuracy for medication change prediction  SVM control for age -- demographic parity,0.976580413
Accuracy for medication change prediction  SVM control for age -- equalized odds,0.999934491
Accuracy for diabetes med perscribed prediction SVM control for age -- demographic parity,0.69557812
Accuracy for diabetes med perscribed prediction SVM control for age -- equalized odds,0.687717
